Flow_Timeout(s),Lambda_Rate(packets/s),Average_Delay(s)
1.0,1.7,1.2970633960328966
1.0,1.71,1.279493293992326
1.0,1.72,1.3175948430707751
1.0,1.73,1.3112975745734379
1.0,1.74,1.3574805071763865
1.0,1.75,1.2706046238069488
1.0,1.76,1.316371366940105
1.0,1.77,1.2861650159245892
1.0,1.78,1.3797407535851185
1.0,1.79,1.3045445446262807
1.0,1.8,1.3234247219091675
1.0,1.81,1.3073192513396947
1.0,1.82,1.287697948806055
1.0,1.83,1.3198129102367957
1.0,1.84,1.3404046158929999
1.0,1.85,1.342854069326941
1.0,1.86,1.4004575051211563
1.0,1.87,1.3630622085574315
1.0,1.8800000000000001,1.3593072875880208
1.0,1.8900000000000001,1.3655491568377098
1.0,1.9000000000000001,1.4004454610670352
1.0,1.9100000000000001,1.3929683634013492
1.0,1.9200000000000002,1.3932430759727479
1.0,1.93,1.3815809230949587
1.0,1.94,1.4690203448508248
1.0,1.95,1.3669343033528738
1.0,1.96,1.352761339797967
1.0,1.97,1.435648760045138
1.0,1.98,1.4256150980149163
1.0,1.99,1.4371877425641442
1.0,2.0,1.417602463785183
1.0,2.01,1.5218687209887358
1.0,2.02,1.4524580680916437
1.0,2.03,1.4833107665077987
1.0,2.04,1.4567936090915494
1.0,2.05,1.5114930630883079
1.0,2.0599999999999996,1.5962777127099805
1.0,2.07,1.4986337896331534
1.0,2.0799999999999996,1.4573004508916447
1.0,2.09,1.4871891583184242
1.0,2.0999999999999996,1.6167956014148726
1.0,2.11,1.5455758885568571
1.0,2.1199999999999997,1.6041512025484406
1.0,2.13,1.5659071378688143
1.0,2.1399999999999997,1.6155266837232654
1.0,2.15,1.6531634248969753
1.0,2.1599999999999997,1.6258109604857656
1.0,2.17,1.5677536729283188
1.0,2.1799999999999997,1.5745797211289227
1.0,2.19,1.604322436907985
1.0,2.1999999999999997,1.7102306403350263
1.0,2.21,1.617184317075538
1.0,2.2199999999999998,1.5820098289003204
1.0,2.23,1.7682809238486592
1.0,2.2399999999999998,1.917183033343443
1.0,2.25,1.6328664770086188
1.0,2.26,1.6779750553655612
1.0,2.27,1.896153668038523
1.0,2.28,1.8142675603703855
1.0,2.29,1.8777970112938362
1.0,2.3,1.7906287095964164
1.0,2.31,2.018271511867276
1.0,2.32,2.0043899214773315
1.0,2.3299999999999996,1.8175532210756578
1.0,2.34,1.9265149619083413
1.0,2.3499999999999996,1.8661944409648865
1.0,2.36,1.9020951851885826
1.0,2.3699999999999997,1.8862224405027652
1.0,2.38,1.9887273611061809
1.0,2.3899999999999997,2.099186779653043
1.0,2.4,2.143984996047291
1.0,2.4099999999999997,2.0950218047533817
1.0,2.42,2.3076120286825565
1.0,2.4299999999999997,2.162513530174943
1.0,2.44,1.9691101757862841
1.0,2.4499999999999997,2.0489971785732135
1.0,2.46,2.1874255109328344
1.0,2.4699999999999998,2.0284037047820025
1.0,2.48,2.0703725792730543
1.0,2.4899999999999998,2.3933769885789236
1.0,2.5,2.841636710699663
1.0,2.51,2.497647078714715
1.0,2.52,2.2948311167654434
